0,5,"RT @Death2RapeGangs: Call me racist ,bitch ,whore, slut, bigot - still doesn't change the fact too many #MUSLIMS Rape &amp; Prostitute English…
",1
0,5,"RT @Death2RapeGangs: Call me racist ,bitch ,whore, slut, bigot - still doesn't change the fact too many #MUSLIMS Rape &amp; Prostitute English…
",1
1,5,"@realDonaldTrump @LouDobbs #DeportThemAll #DefundSanctuaryCities #BuildTheWall #DontBackDown Don't back down now.
",3
0,5,"RT @Death2RapeGangs: Call me racist ,bitch ,whore, slut, bigot - still doesn't change the fact too many #MUSLIMS Rape &amp; Prostitute English…
",1
0,5,"@realDonaldTrump @LouDobbs #DeportThemAll #DefundSanctuaryCities #BuildTheWall #DontBackDown Don't back down now.
",3
0,1,"RT @mannyjay_: what the fuck is wrong with young ma..... we barely get lesbian/lgbt rappers in the popular scene and she fucking i… 
",4
0,1,"RT @mannyjay_: what the fuck is wrong with young ma..... we barely get lesbian/lgbt rappers in the popular scene and she fucking i… 
",4
0,5,"@DrJillStein How does it feel being used like a whore by #Globalist sleezebag @georgesoros? #FuckingRetard
",2
0,5,"RT @heidiawome: Legs are out, must be a slut🌚💅 http://t.co/popskmjxRp
",2
0,5,"@neeratanden @hrm_1973 Its not fake news. You just keep letting Soros in your panties hunnie. #progressive #slut
",2
0,5,"@SuicidalDraven imagine being a nigger and getting permad for saying nigger =D
",3
0,5,"So annoying when slutty boys slut-shame girls lmaooo
",2
0,1,"RT @mannyjay_: what the fuck is wrong with young ma..... we barely get lesbian/lgbt rappers in the popular scene and she fucking i… 
",4
0,5,"Walks over to @MaygaMilkSlut and slaps her with his fat cock before releasing a hot load all over her face  ""Take it you whore~""
",2
0,5,"@Brenan_myhomie it's cool bailee lookin like a tranny rn anyway
",2
0,5,"@Zeevsheli For a society? So that more than only Jews can profit? Do you know the term 'hegemony' Zionist twat?
",1
0,5,"@arpna_rani a whore - so proud of her filty azz skanky self
",2
0,1,"RT @BnazF: us: could we get a proper lesbian romance with two main characters hets: you already have a side one ?? don't be so… 
",4
0,5,"@Akloppalypse78 Can't stand the gimp
",5
0,5,"RT @Sxvannahjo: I may not be a 10/10 but I know damn well I glo'd up so all of u who thought I was gonna be a fat lesbian can stuff it
",4
0,5,"RT @AjHuncho: You a gook if you putting jugs on the net
",3
0,1,"@EthiKTYLR gotta calm down on the ""nigger"" messages lol
",3
0,5,"RT @jewhoes: @kfc wut is dis cuck nigger loving gay shit dont send me dis shit
",3
0,5,"@MichaelSwan98 queer cunt
",4
0,1,"my lesbian couple had a baby on the sims :)))))
",4
0,1,"RT @womensart1: Lesbian artist/activist Tee Corine, Woman in wheelchair with able bodied lover, 1979, used as band Suede's debut al… 
",4
0,1,"RT @miliondollameat: No homo bitch i am a lesbian
",4
0,1,"RT @TheAmecha: My lesbian neighbor got me a rolex for my birthday,  I think she misunderstood me after I'd said ""I wanna watch""
",4
0,5,"@Soldierjohn @AOL Not just a foul mouth disgusting pig but a fat lesbian to boot.What a role model for young girls.
",4
0,5,"@ayeSythh @ffstrident @GamingVideoGFX same that fucking retard never made my gfx before.
",5
0,5,"@Jonatha93638429 probably you and your Charles with his whore. Poor Diana
",2
0,1,"RT @BigLezShowClips: A NEW SEASON OF BIG LEZ SHOW HAS JUST BEEN CONFIRMED!
",
0,1,"RT @miliondollameat: No homo bitch i am a lesbian
",4
0,5,"my legs are sore from slut dropping
",2
0,5,"RT @micahsgrrl: @kriszensufi @Jyrkiboy_ @cparkeast1 @AwakenOne16 @realDonaldTrump The call for nigger lynchings is ok cuz well, no one died.
",3
0,5,"@CumOnAsuna Hah I dont care if you are up for it or not I am still becoming your bull master who will breed you, milk you and whore you out.
",2
0,5,"RT @Brahsin: @CognitiveRews you're barnacle boy retard dont get ahead of yourself
",5
0,5,"You two-faced, bloodsucking, ten dollar whore! Hey, kid--!
",2
0,5,"yoongi's hong kong verse is so homo don't @ me
",4
0,1,"RT @GxGsquad: If you NO LABEL &amp; single please RETWEET this tweet so another lesbian single can see you!
",4
0,5,"@anthonyyajs @Fighter_Pride right, by selling her stinky cunt
",2
0,5,"Hillary Clinton wants to IGNORE 47 States who Voted Trump and only Do a Recount in 3 States?  Now thats what u call RETARD @realDonaldTrump
",5
0,5,"shitty ion got a girl to step w lmao so sliding w my nigger pal will have to do for today dah 👌🏾
",3
0,1,"RT @miliondollameat: No homo bitch i am a lesbian
",4
0,5,"@ItsMeCabbage who is that lesbian and how tight is her pussy
",2
0,1,"RT @GxGsquad: If you FEMME &amp; single please RETWEET this tweet so another lesbian single can see you!
",4
0,5,"sugoi nigger chan
",3
0,5,"@givenachancex thank you for not being a shady skank
",2
0,5,"@leeco197 what about the chink don't beez cruel oh Stella please boss
",3
0,5,"RT @MightyBusterBro: George Clooney:  ""TRUMP NO - IMMIGRANTS YES"" Clooney's BS Destroyed  #RefugeesNotWelcome #MAGA #MuslimBan #2A #NRA htt…
",1
0,5,"Talking to brahsin is like talking to a iris member, all that paki wants to do it bomb cunts.
",1
0,5,"RT @WineMummy: I save all my best whore tweets for weekend Twitter.
",2
0,5,"@HeatedDesires ""I'm not some slut who bends over and begs to be fucked!""
",2
0,5,"@SaloForum @20committee hence despite having the same pol/econ system as dprk, cuba gets a positive image while dprk gets racist chink jokes
",3
0,5,"@ltsPatto gook with a country as a name, we're best goth band ever, n u seem cool, hmu when im not busy
",3
0,5,"@realDonaldTrump MR TRUMP. Please prosecute The skank Hillary
",6
0,5,"RT @fanfiction_txt: Dexter was busy working on another monkey experiment in his lab when his whore sister Deedee interrupted him
",2
0,5,"@DaydreamSlays @MimiEternal12 shitriah is lip syncing cunt, there you go
",2
0,5,"@jiggy__j I know you saw my calls last night whore
",2
0,5,"RT @httpsmermaid: rt if your a whore for #bearday
",2
0,5,"@EliLake @jillkeogh Canadians, embarrassed by their leader will flock here now.  #buildthewall
",6
0,5,"RT @reelatonshipp: For all the girls who say ""All guys are the same"", who told you to try them all? Slut.
",2
0,1,"RT @sibylpain: this straight boy complaining about a gay guy hitting on him whilst hitting on me, a fucking lesbian, is like classic straig…
",4
0,5,"RT @RevoLucian: I love @RuPaul, and he's the wisest nigger I know!!! 😂❤️❤️❤️
",3
0,1,"RT @stellgibsons: i'm a lesbian, a woman pops her titty out to feed her kid i give her respect and look away. it's not hard, there's… 
",4
0,5,"@PsychoAmberr @Detri Na I'm lying he's not😂😂😂ur a retard
",5
0,1,"RT @BnazF: us: could we get a proper lesbian romance with two main characters hets: you already have a side one ?? don't be so… 
",4
0,5,"Burfict is a whore Lmaoo
",2
0,5,"Eli Manning sucks worst fantasy pick I've ever made in my life fucking over rated retard he is
",5
0,5,"@dickovermykids Katie is such a cunt. I'm glad tom made her a best man
",2
0,5,"RT @TjuanGoodwin: @TjuanGoodwin fuck u u slut got me kicked off fb fuck u and them ugly puppy lookin ass kids u trifling bitch
",2
0,5,"""White people are so gay"" - says kelsey largest bull butch dyke in all of the land
",4
0,5,"RT @jewhoes: @kfc wut is dis cuck nigger loving gay shit dont send me dis shit
",3
0,5,"RT @blatecanchett: hmm i'll stop ""being silly"" when lesbian characters stop getting killed off purely to further a straight character'… 
",4
0,5,"HIS !!!! LITTLE !!!!! SLUT !!!!!
",2
0,5,"RT @TrumpHat: fact: there are no straight liberal millennials. every last one of them is gay, lesbian, trans, genderqueer, or in denial. no…
",4
0,1,"RT @maliagriggs: Because I'm biracial, I know how it is to feel ""white guilt."" But I also know how it feels to be a called a ""chink."" https…
",3
0,5,"@Nord_Eh  She's  an alcoholic crack whore who sucked her way to the top.
",2
0,5,"thank fuck West Ham central been suspended autistic cunt
",5
0,5,"@MarkusMeechan make me tea you slut.
",2
0,1,"RT @BnazF: us: could we get a proper lesbian romance with two main characters hets: you already have a side one ?? don't be so… 
",4
0,1,"RT @frnkenstein: @frnkenstein 58. Buffy the Vampire Slayer - THE BEST LESBIAN COUPLE IN THE HISTORY OF TELEVISION? - MAKES ME CRY https://t…
",4
0,5,"@TidalKarma @HollyGuacamoIIy NIGGER EYES
",3
0,5,"This is so uncalled for. Dumb ass RT @RevoLucian: I love @RuPaul, and he's the wisest nigger I know!!! 😂❤️❤️❤️
",3
0,5,"@GGFroste treat me like a retard and explain what that means please
",5
0,5,"Burfict is such a fag flipping like that with the track record he has
",4
0,5,"@merkyjay @MylesLive_ I don't play lmao talk to myles and Kevin you fucking retard. Haven't touched a console in 2 years
",5
0,5,"""I'm not getting enough attention. I know, I'll tweet pics of my naked tits and bdsm porn gifs.""   -said every slut with no brain on Twitter
",2
0,5,"Young ma was da wrong dyke to let get on lmaoooo smh
",4
0,5,"@lightlexfromtex sounds like the typical Lawton negro to me
",3
0,5,"@AndreasAMG @Gary_Clarke_ @EddieHearn You're right, it's all about money. And only a retard would think that's a good thing.
",5
0,1,"i'm lesbo and proud
",4
0,1,"RT @chokememamiii: Rt for a lesbian group chat💦
",4
0,5,"RT @MightyBusterBro: George Clooney:  ""TRUMP NO - IMMIGRANTS YES"" Clooney's BS Destroyed  #RefugeesNotWelcome #MAGA #MuslimBan #2A #NRA htt…
",1
0,5,"RT @KonfliktNUPE: @lightlexfromtex sounds like the typical Lawton negro to me
",3
0,5,"@woll3m myyyyy nigger love you and hope your good
",3
0,5,"Mick Noss is a fuckin gimp
",5
0,5,"@ChappersFIFA @FrankTheRabbit @dismayCS Jayden doesn't like him because he's a fat nigger that sends pics of his fat stomach
",3
0,5,"#: Throw hands bro, pussy ass bitch"".. Me:sorry I don't like to get my hands dirty by touching some random unworthy slut
",2
0,5,"@Madonna It is her that woman you follow in dreams, just a slut. She just happen to have become my wife, at the right moment.
",2
0,5,"RT @anything4views: Butter up my fat legs you fucking dirty slut.
",2
0,5,"@FoxNews @realDonaldTrump hillary is a skank. Not to mention a sore loser and a murderer.
",6
0,5,"Slaven Bilic is a old nasty slut!!!!!!
",2
0,5,"RT @Umbranetta: @barapng @WRATHOFDADDY @geiwajima I do! Move out of the way u ungrateful slut
",2
0,1,"RT @sheismyworld_x: my fave lesbian couple are together in 6 days omfg when did that happen @alyciaskristen @fIawlesssivan 😩😩😭
",4
0,1,"@adalinethefox @antinaru @XyrazG @WendelboLoL we'd be hottest lesbian couple
",4
0,5,"RT @julie2288: ""I'm not getting enough attention. I know, I'll tweet pics of my naked tits and bdsm porn gifs.""   -said every slut with no…
",2
0,5,"RT @MightyBusterBro: George Clooney:  ""TRUMP NO - IMMIGRANTS YES"" Clooney's BS Destroyed  #RefugeesNotWelcome #MAGA #MuslimBan #2A #NRA htt…
",1
0,5,"@AlfredHookem he's a retard though and should only be allowed out with adult supervision
",5
0,5,"@SawLanai stfu retard
",5
0,5,"Vontez is a fucking NIGGER! Classless piece of shit! No place in the NFL for him @Bengals control your thugs!
",3
0,5,"@Arsegun how adorable!  A liberal making retard jokes!
",5
0,1,"@DaBassMonsta why do men like the idea that their woman might be drawn to lesbian sex .. Yet find the idea of homosexual sex repulsive ?
",4
0,5,"@Babys1stshoah @Cuckerella @Suno_North the Jews but she's to much of a kike lover to realize that
",1
0,5,"RT @AjHuncho: You a gook if you putting jugs on the net
",3
0,5,"@Ray_ban23 whatever you owe me, you stay standing me up, lil hooker 👊🏽😂
",2
0,5,"@57orm @GiddySoup @Stygmatism fall ball retard
",5
0,5,"""You look like a fuckboy""  Why?  ""U cute and dress fresh af""  Fuckin' retard.
",5
0,5,"blame that nigger lingard for giving away a free kick useless cunt
",3
0,5,"@57orm @N_Jrr and the illiterate retard strikes again, go blue baby
",5
0,5,"@xJMx_Meroh nigger
",3
0,5,"@7ibbs yeah nigger
",3
